Vertex,Label,Region
241,lateraloccipital L,LO
242,lateraloccipital L,LO
243,lateraloccipital L,LO
244,lateraloccipital L,LO
245,lateraloccipital L,LO
246,lateraloccipital L,LO
247,lateraloccipital L,LO
248,pericalcarine L,LO
249,lateraloccipital L,LO
250,superiorparietal L,LP
251,cuneus L,LO
252,pericalcarine L,LO
253,inferiorparietal L,LP
254,lateraloccipital L,LO
255,pericalcarine L,LO
256,lateraloccipital L,LO
257,lateraloccipital L,LO
258,superiorparietal L,LP
259,superiorparietal L,LP
260,inferiorparietal L,LP
261,superiorparietal L,LP
262,lingual L,LO
263,pericalcarine L,LO
264,inferiorparietal L,LP
265,superiorparietal L,LP
266,superiorparietal L,LP
267,pericalcarine L,LO
268,superiorparietal L,LP
269,superiorparietal L,LP
270,lateraloccipital L,LO
271,superiorparietal L,LP
272,lateraloccipital L,LO
273,lateraloccipital L,LO
274,superiorparietal L,LP
275,lateraloccipital L,LO
276,superiorparietal L,LP
277,lingual L,LO
278,lingual L,LO
279,lingual L,LO
280,lateraloccipital L,LO
281,lingual L,LO
282,lingual L,LO
283,lateraloccipital L,LO
284,lateraloccipital L,LO
285,lateraloccipital L,LO
286,inferiorparietal L,LP
287,inferiorparietal L,LP
288,lateraloccipital L,LO
289,lateraloccipital L,LO
290,lingual L,LO
291,superiorparietal L,LP
292,inferiorparietal L,LP
293,lateraloccipital L,LO
294,cuneus L,LO
295,superiorparietal L,LP
296,pericalcarine L,LO
297,lateraloccipital L,LO
298,superiorparietal L,LP
299,cuneus L,LO
300,lateraloccipital L,LO
301,lateraloccipital L,LO
302,lateraloccipital L,LO
303,superiorparietal L,LP
304,superiorparietal L,LP
305,pericalcarine L,LO
306,lateraloccipital L,LO
307,lateraloccipital L,LO
308,lateraloccipital L,LO
309,lateraloccipital L,LO
310,lateraloccipital L,LO
311,lateraloccipital L,LO
312,lateraloccipital L,LO
313,inferiorparietal L,LP
314,lateraloccipital L,LO
315,superiorparietal L,LP
316,lateraloccipital L,LO
317,lateraloccipital L,LO
318,inferiorparietal L,LP
319,superiorparietal L,LP
320,superiorparietal L,LP
321,lateraloccipital L,LO
322,lateraloccipital L,LO
323,superiorparietal L,LP
324,pericalcarine L,LO
325,lateraloccipital L,LO
326,lingual L,LO
327,inferiorparietal L,LP
328,lateraloccipital L,LO
329,inferiorparietal L,LP
330,lateraloccipital L,LO
331,lingual L,LO
332,lateraloccipital L,LO
333,lateraloccipital L,LO
334,pericalcarine L,LO
335,lateraloccipital L,LO
336,cuneus L,LO
337,lateraloccipital L,LO
338,cuneus L,LO
339,superiorparietal L,LP
340,lateraloccipital L,LO
341,lateraloccipital L,LO
342,inferiorparietal L,LP
343,inferiorparietal L,LP
344,superiorparietal L,LP
345,lateraloccipital L,LO
346,superiorparietal L,LP
347,lingual L,LO
348,superiorparietal L,LP
349,cuneus L,LO
350,lateraloccipital L,LO
351,superiorparietal L,LP
352,inferiorparietal L,LP
353,superiorparietal L,LP
354,superiorparietal L,LP
355,superiorparietal L,LP
356,superiorparietal L,LP
357,superiorparietal L,LP
358,lateraloccipital L,LO
359,lateraloccipital L,LO
360,lateraloccipital L,LO
361,pericalcarine L,LO
362,superiorparietal L,LP
363,lingual L,LO
364,pericalcarine L,LO
365,superiorparietal L,LP
366,superiorparietal L,LP
367,superiorparietal L,LP
368,lateraloccipital L,LO
369,lateraloccipital L,LO
370,inferiorparietal L,LP
371,inferiorparietal L,LP
372,superiorparietal L,LP
373,superiorparietal L,LP
374,inferiorparietal L,LP
375,pericalcarine L,LO
376,lateraloccipital L,LO
377,superiorparietal L,LP
378,lateraloccipital L,LO
379,pericalcarine L,LO
380,inferiorparietal L,LP
381,lateraloccipital L,LO
382,lateraloccipital L,LO
383,lingual L,LO
384,superiorparietal L,LP
385,superiorparietal L,LP
386,lateraloccipital L,LO
387,lateraloccipital L,LO
388,inferiorparietal L,LP
389,lateraloccipital L,LO
390,lateraloccipital L,LO
391,superiorparietal L,LP
392,pericalcarine L,LO
393,lingual L,LO
394,lateraloccipital L,LO
395,pericalcarine L,LO
396,superiorparietal L,LP
397,lateraloccipital L,LO
398,lateraloccipital L,LO
399,lateraloccipital L,LO
400,lateraloccipital L,LO
401,inferiorparietal L,LP
402,superiorparietal L,LP
403,inferiorparietal L,LP
404,inferiorparietal L,LP
405,lingual L,LO
406,lateraloccipital L,LO
407,superiorparietal L,LP
408,superiorparietal L,LP
409,lateraloccipital L,LO
410,superiorparietal L,LP
411,superiorparietal L,LP
412,inferiorparietal L,LP
413,inferiorparietal L,LP
414,lateraloccipital L,LO
415,pericalcarine L,LO
416,lingual L,LO
417,cuneus L,LO
418,pericalcarine L,LO
419,lingual L,LO
420,lingual L,LO
421,superiorparietal L,LP
422,lateraloccipital L,LO
423,lateraloccipital L,LO
424,superiorparietal L,LP
425,pericalcarine L,LO
426,superiorparietal L,LP
427,cuneus L,LO
428,lateraloccipital L,LO
429,lateraloccipital L,LO
430,inferiorparietal L,LP
431,inferiorparietal L,LP
432,pericalcarine L,LO
433,lateraloccipital L,LO
434,superiorparietal L,LP
435,superiorparietal L,LP
436,inferiorparietal L,LP
437,pericalcarine L,LO
438,lateraloccipital L,LO
439,lateraloccipital L,LO
440,lingual L,LO
441,inferiorparietal L,LP
442,lingual L,LO
443,lateraloccipital L,LO
444,inferiorparietal L,LP
445,lingual L,LO
446,cuneus L,LO
447,superiorparietal L,LP
448,lateraloccipital L,LO
449,superiorparietal L,LP
450,lingual L,LO
451,superiorparietal L,LP
452,inferiorparietal L,LP
453,inferiorparietal L,LP
454,inferiorparietal L,LP
455,lateraloccipital L,LO
456,pericalcarine L,LO
457,superiorparietal L,LP
458,pericalcarine L,LO
459,inferiorparietal L,LP
460,lateraloccipital L,LO
461,superiorparietal L,LP
462,cuneus L,LO
463,inferiorparietal L,LP
464,inferiorparietal L,LP
465,inferiorparietal L,LP
466,inferiorparietal L,LP
467,lateraloccipital L,LO
468,lingual L,LO
469,inferiorparietal L,LP
470,pericalcarine L,LO
471,pericalcarine L,LO
472,cuneus L,LO
473,inferiorparietal L,LP
474,inferiorparietal L,LP
475,superiorparietal L,LP
476,lingual L,LO
477,lateraloccipital L,LO
478,superiorparietal L,LP
479,lateraloccipital L,LO
480,cuneus L,LO
481,lateraloccipital L,LO
482,lingual L,LO
483,superiorparietal L,LP
484,cuneus L,LO
485,inferiorparietal L,LP
486,superiorparietal L,LP
487,pericalcarine L,LO
488,superiorparietal L,LP
489,cuneus L,LO
490,superiorparietal L,LP
491,superiorparietal L,LP
492,superiorparietal L,LP
493,inferiorparietal L,LP
494,lateraloccipital L,LO
495,inferiorparietal L,LP
496,superiorparietal L,LP
497,pericalcarine L,LO
498,lateraloccipital L,LO
499,lingual L,LO
500,superiorparietal L,LP
501,lingual L,LO
502,inferiorparietal L,LP
503,superiorparietal L,LP
504,cuneus L,LO
505,superiorparietal L,LP
506,lingual L,LO
507,inferiorparietal L,LP
508,lateraloccipital L,LO
509,lateraloccipital L,LO
510,inferiorparietal L,LP
511,lateraloccipital L,LO
512,superiorparietal L,LP
513,superiorparietal L,LP
514,cuneus L,LO
515,lingual L,LO
516,cuneus L,LO
517,lateraloccipital L,LO
518,lateraloccipital L,LO
519,superiorparietal L,LP
520,cuneus L,LO
521,cuneus L,LO
522,cuneus L,LO
523,superiorparietal L,LP
524,lingual L,LO
525,cuneus L,LO
526,cuneus L,LO
527,lateraloccipital L,LO
528,cuneus L,LO
529,lingual L,LO
530,lateraloccipital L,LO
531,lateraloccipital L,LO
532,precuneus L,LP
533,pericalcarine L,LO
534,inferiorparietal L,LP
535,cuneus L,LO
536,cuneus L,LO
537,inferiorparietal L,LP
538,cuneus L,LO
539,precuneus L,LP
540,pericalcarine L,LO
541,superiorparietal L,LP
542,cuneus L,LO
543,superiorparietal L,LP
544,lateraloccipital L,LO
545,lateraloccipital L,LO
546,lateraloccipital L,LO
547,inferiorparietal L,LP
548,inferiorparietal L,LP
549,cuneus L,LO
550,lingual L,LO
551,superiorparietal L,LP
552,cuneus L,LO
553,superiorparietal L,LP
554,pericalcarine L,LO
555,lateraloccipital L,LO
556,lingual L,LO
557,superiorparietal L,LP
558,cuneus L,LO
559,inferiorparietal L,LP
560,superiorparietal L,LP
561,inferiorparietal L,LP
562,inferiorparietal L,LP
563,lateraloccipital L,LO
564,lateraloccipital L,LO
565,superiorparietal L,LP
566,superiorparietal L,LP
567,lateraloccipital L,LO
568,cuneus L,LO
569,inferiorparietal L,LP
570,pericalcarine L,LO
571,lingual L,LO
572,inferiorparietal L,LP
573,inferiorparietal L,LP
574,cuneus L,LO
575,lingual L,LO
576,lingual L,LO
577,lateraloccipital L,LO
578,inferiorparietal L,LP
579,lateraloccipital L,LO
580,superiorparietal L,LP
581,superiorparietal L,LP
582,lingual L,LO
583,lingual L,LO
584,lateraloccipital L,LO
585,fusiform L,LT
586,precuneus L,LP
587,lateraloccipital L,LO
588,precuneus L,LP
589,superiorparietal L,LP
590,inferiorparietal L,LP
591,superiorparietal L,LP
592,inferiorparietal L,LP
593,inferiorparietal L,LP
594,lateraloccipital L,LO
595,superiorparietal L,LP
596,lingual L,LO
597,cuneus L,LO
598,lateraloccipital L,LO
599,lateraloccipital L,LO
600,lateraloccipital L,LO
601,lateraloccipital L,LO
602,pericalcarine L,LO
603,inferiorparietal L,LP
604,superiorparietal L,LP
605,lateraloccipital L,LO
606,superiorparietal L,LP
607,lingual L,LO
608,superiorparietal L,LP
609,fusiform L,LT
610,fusiform L,LT
611,fusiform L,LT
612,inferiorparietal L,LP
613,lateraloccipital L,LO
614,inferiorparietal L,LP
615,lateraloccipital L,LO
616,lingual L,LO
617,cuneus L,LO
618,lateraloccipital L,LO
619,fusiform L,LT
620,cuneus L,LO
621,lingual L,LO
622,precuneus L,LP
623,cuneus L,LO
624,superiorparietal L,LP
625,lingual L,LO
626,lateraloccipital L,LO
627,inferiorparietal L,LP
628,superiorparietal L,LP
629,fusiform L,LT
630,pericalcarine L,LO
631,inferiorparietal L,LP
632,inferiorparietal L,LP
633,superiorparietal L,LP
634,cuneus L,LO
635,lingual L,LO
636,lateraloccipital L,LO
637,superiorparietal L,LP
638,superiorparietal L,LP
639,lingual L,LO
640,cuneus L,LO
641,lingual L,LO
642,inferiorparietal L,LP
643,pericalcarine L,LO
644,inferiorparietal L,LP
645,fusiform L,LT
646,pericalcarine L,LO
647,cuneus L,LO
648,cuneus L,LO
649,inferiorparietal L,LP
650,inferiorparietal L,LP
651,inferiorparietal L,LP
652,fusiform L,LT
653,superiorparietal L,LP
654,pericalcarine L,LO
655,superiorparietal L,LP
656,superiorparietal L,LP
657,cuneus L,LO
658,superiorparietal L,LP
659,pericalcarine L,LO
660,fusiform L,LT
661,cuneus L,LO
662,precuneus L,LP
663,lateraloccipital L,LO
664,inferiorparietal L,LP
665,fusiform L,LT
666,inferiorparietal L,LP
667,inferiorparietal L,LP
668,superiorparietal L,LP
669,superiorparietal L,LP
670,lingual L,LO
671,superiorparietal L,LP
672,superiorparietal L,LP
673,lingual L,LO
674,lingual L,LO
675,inferiorparietal L,LP
676,lingual L,LO
677,inferiorparietal L,LP
678,lateraloccipital L,LO
679,lateraloccipital L,LO
680,inferiorparietal L,LP
681,lateraloccipital L,LO
682,lingual L,LO
683,cuneus L,LO
684,fusiform L,LT
685,inferiorparietal L,LP
686,superiorparietal L,LP
687,lingual L,LO
688,inferiorparietal L,LP
689,pericalcarine L,LO
690,superiorparietal L,LP
691,fusiform L,LT
692,inferiorparietal L,LP
693,inferiorparietal L,LP
694,lateraloccipital L,LO
695,lingual L,LO
696,cuneus L,LO
697,cuneus L,LO
698,superiorparietal L,LP
699,inferiorparietal L,LP
700,inferiorparietal L,LP
701,lateraloccipital L,LO
702,lateraloccipital L,LO
703,lateraloccipital L,LO
704,cuneus L,LO
705,inferiorparietal L,LP
706,fusiform L,LT
707,fusiform L,LT
708,fusiform L,LT
709,superiorparietal L,LP
710,inferiorparietal L,LP
711,inferiorparietal L,LP
712,superiorparietal L,LP
714,superiorparietal L,LP
715,superiorparietal L,LP
716,precuneus L,LP
717,inferiorparietal L,LP
718,precuneus L,LP
719,inferiorparietal L,LP
720,superiorparietal L,LP
721,precuneus L,LP
722,fusiform L,LT
723,lateraloccipital L,LO
724,lateraloccipital L,LO
725,lingual L,LO
726,inferiorparietal L,LP
727,lateraloccipital L,LO
728,cuneus L,LO
729,superiorparietal L,LP
730,superiorparietal L,LP
731,fusiform L,LT
732,lingual L,LO
733,inferiorparietal L,LP
734,pericalcarine L,LO
735,inferiorparietal L,LP
736,lateraloccipital L,LO
737,pericalcarine L,LO
738,superiorparietal L,LP
739,inferiorparietal L,LP
740,inferiorparietal L,LP
741,inferiorparietal L,LP
742,lateraloccipital L,LO
743,fusiform L,LT
744,fusiform L,LT
745,precuneus L,LP
746,fusiform L,LT
747,pericalcarine L,LO
748,inferiorparietal L,LP
750,pericalcarine L,LO
751,lingual L,LO
752,superiorparietal L,LP
753,lingual L,LO
754,cuneus L,LO
755,inferiorparietal L,LP
756,superiorparietal L,LP
757,lateraloccipital L,LO
758,inferiorparietal L,LP
759,inferiorparietal L,LP
760,lateraloccipital L,LO
761,precuneus L,LP
762,inferiorparietal L,LP
763,superiorparietal L,LP
764,inferiorparietal L,LP
765,cuneus L,LO
766,lateraloccipital L,LO
767,superiorparietal L,LP
768,inferiorparietal L,LP
769,inferiorparietal L,LP
770,cuneus L,LO
771,lingual L,LO
772,lateraloccipital L,LO
773,lingual L,LO
774,inferiorparietal L,LP
775,inferiorparietal L,LP
776,inferiorparietal L,LP
777,lingual L,LO
778,lateraloccipital L,LO
779,inferiorparietal L,LP
780,inferiorparietal L,LP
781,lateraloccipital L,LO
782,superiorparietal L,LP
783,fusiform L,LT
784,cuneus L,LO
785,superiorparietal L,LP
786,cuneus L,LO
787,cuneus L,LO
788,pericalcarine L,LO
789,inferiorparietal L,LP
790,inferiorparietal L,LP
791,superiorparietal L,LP
792,precuneus L,LP
793,inferiorparietal L,LP
794,lingual L,LO
795,lateraloccipital L,LO
796,fusiform L,LT
797,pericalcarine L,LO
798,fusiform L,LT
799,superiorparietal L,LP
800,lingual L,LO
801,lingual L,LO
802,lingual L,LO
803,inferiorparietal L,LP
804,inferiorparietal L,LP
805,cuneus L,LO
806,superiorparietal L,LP
807,inferiorparietal L,LP
808,superiorparietal L,LP
809,superiorparietal L,LP
810,inferiorparietal L,LP
811,pericalcarine L,LO
812,lateraloccipital L,LO
813,fusiform L,LT
814,precuneus L,LP
815,fusiform L,LT
816,pericalcarine L,LO
817,superiorparietal L,LP
818,inferiorparietal L,LP
819,lingual L,LO
820,inferiorparietal L,LP
821,lateraloccipital L,LO
822,lingual L,LO
823,inferiorparietal L,LP
824,lingual L,LO
825,lingual L,LO
826,superiorparietal L,LP
827,superiorparietal L,LP
828,inferiorparietal L,LP
829,lingual L,LO
830,pericalcarine L,LO
831,superiorparietal L,LP
832,precuneus L,LP
833,superiorparietal L,LP
834,lingual L,LO
835,precuneus L,LP
836,lateraloccipital L,LO
837,superiorparietal L,LP
838,pericalcarine L,LO
839,inferiorparietal L,LP
840,superiorparietal L,LP
841,superiorparietal L,LP
842,precuneus L,LP
843,lateraloccipital L,LO
844,fusiform L,LT
845,cuneus L,LO
846,lateraloccipital L,LO
847,pericalcarine L,LO
848,lingual L,LO
849,lateraloccipital L,LO
850,inferiorparietal L,LP
851,superiorparietal L,LP
852,superiorparietal L,LP
853,lingual L,LO
854,superiorparietal L,LP
855,inferiorparietal L,LP
856,inferiorparietal L,LP
857,superiorparietal L,LP
858,precuneus L,LP
859,inferiorparietal L,LP
860,lateraloccipital L,LO
861,pericalcarine L,LO
862,pericalcarine L,LO
863,precuneus L,LP
864,lingual L,LO
865,lateraloccipital L,LO
866,pericalcarine L,LO
867,inferiorparietal L,LP
868,precuneus L,LP
869,lingual L,LO
870,fusiform L,LT
871,lingual L,LO
872,inferiorparietal L,LP
873,lateraloccipital L,LO
874,fusiform L,LT
875,lateraloccipital L,LO
876,superiorparietal L,LP
877,lingual L,LO
878,inferiorparietal L,LP
879,inferiorparietal L,LP
880,lingual L,LO
881,lingual L,LO
882,superiorparietal L,LP
883,cuneus L,LO
884,lateraloccipital L,LO
885,superiorparietal L,LP
886,inferiorparietal L,LP
887,fusiform L,LT
888,lingual L,LO
889,precuneus L,LP
890,lateraloccipital L,LO
891,lateraloccipital L,LO
892,superiorparietal L,LP
893,lateraloccipital L,LO
894,pericalcarine L,LO
895,superiorparietal L,LP
896,cuneus L,LO
897,precuneus L,LP
898,lingual L,LO
899,pericalcarine L,LO
900,inferiorparietal L,LP
901,pericalcarine L,LO
902,precuneus L,LP
903,superiorparietal L,LP
904,lateraloccipital L,LO
905,inferiorparietal L,LP
906,inferiorparietal L,LP
907,pericalcarine L,LO
908,precuneus L,LP
909,lingual L,LO
910,lateraloccipital L,LO
911,precuneus L,LP
912,lingual L,LO
913,fusiform L,LT
914,lingual L,LO
915,lingual L,LO
916,lateraloccipital L,LO
917,inferiorparietal L,LP
918,superiorparietal L,LP
919,fusiform L,LT
920,precuneus L,LP
921,lateraloccipital L,LO
922,inferiorparietal L,LP
923,superiorparietal L,LP
924,pericalcarine L,LO
925,lateraloccipital L,LO
926,precuneus L,LP
927,precuneus L,LP
928,precuneus L,LP
929,lingual L,LO
930,pericalcarine L,LO
931,inferiorparietal L,LP
932,superiorparietal L,LP
933,superiorparietal L,LP
934,lateraloccipital L,LO
935,inferiorparietal L,LP
936,lingual L,LO
937,lingual L,LO
938,inferiortemporal L,LT
939,superiorparietal L,LP
940,fusiform L,LT
941,cuneus L,LO
942,pericalcarine L,LO
943,lateraloccipital L,LO
944,pericalcarine L,LO
945,lingual L,LO
946,inferiorparietal L,LP
947,cuneus L,LO
948,fusiform L,LT
949,superiorparietal L,LP
950,lingual L,LO
951,inferiorparietal L,LP
952,lingual L,LO
953,pericalcarine L,LO
954,pericalcarine L,LO
955,lingual L,LO
956,lateraloccipital L,LO
957,lingual L,LO
958,cuneus L,LO
959,lingual L,LO
960,superiorparietal L,LP
961,precuneus L,LP
962,inferiortemporal L,LT
963,inferiorparietal L,LP
964,lateraloccipital L,LO
965,lingual L,LO
966,inferiortemporal L,LT
967,inferiortemporal L,LT
968,lingual L,LO
969,superiorparietal L,LP
970,superiorparietal L,LP
971,superiorparietal L,LP
972,precuneus L,LP
973,fusiform L,LT
974,superiorparietal L,LP
975,lateraloccipital L,LO
976,cuneus L,LO
977,lateraloccipital L,LO
978,lingual L,LO
979,superiorparietal L,LP
980,lateraloccipital L,LO
981,lingual L,LO
982,lingual L,LO
983,precuneus L,LP
984,precuneus L,LP
985,superiorparietal L,LP
986,superiorparietal L,LP
987,lingual L,LO
988,inferiorparietal L,LP
989,inferiorparietal L,LP
990,superiorparietal L,LP
991,precuneus L,LP
992,lateraloccipital L,LO
993,precuneus L,LP
994,fusiform L,LT
995,superiorparietal L,LP
996,fusiform L,LT
997,pericalcarine L,LO
998,superiorparietal L,LP
999,lateraloccipital L,LO
1000,lateraloccipital L,LO
1001,superiorparietal L,LP
1002,superiorparietal L,LP
1003,lateraloccipital L,LO
1004,superiorparietal L,LP
1005,fusiform L,LT
1006,pericalcarine L,LO
1007,precuneus L,LP
1008,inferiorparietal L,LP
1009,pericalcarine L,LO
1010,lingual L,LO
1011,superiorparietal L,LP
1012,superiorparietal L,LP
1013,inferiorparietal L,LP
1014,precuneus L,LP
1015,precuneus L,LP
1016,lateraloccipital L,LO
1017,inferiortemporal L,LT
1018,superiorparietal L,LP
1019,precuneus L,LP
1020,pericalcarine L,LO
1021,inferiorparietal L,LP
1022,inferiorparietal L,LP
1023,lingual L,LO
1024,precuneus L,LP
1025,superiorparietal L,LP
1026,lingual L,LO
1027,pericalcarine L,LO
1028,precuneus L,LP
1029,precuneus L,LP
1030,cuneus L,LO
1031,inferiortemporal L,LT
1032,superiorparietal L,LP
1033,precuneus L,LP
1034,lingual L,LO
1035,pericalcarine L,LO
1036,cuneus L,LO
1037,inferiorparietal L,LP
1038,inferiortemporal L,LT
1039,pericalcarine L,LO
1040,superiorparietal L,LP
1041,inferiorparietal L,LP
1042,inferiorparietal L,LP
1043,lingual L,LO
1044,inferiortemporal L,LT
1045,inferiortemporal L,LT
1046,superiorparietal L,LP
1047,inferiortemporal L,LT
1048,superiorparietal L,LP
1049,precuneus L,LP
1050,inferiorparietal L,LP
1051,inferiorparietal L,LP
1052,inferiorparietal L,LP
1053,lingual L,LO
1054,pericalcarine L,LO
1055,inferiorparietal L,LP
1056,lingual L,LO
1057,lingual L,LO
1058,lateraloccipital L,LO
1059,superiorparietal L,LP
1060,superiorparietal L,LP
1061,lingual L,LO
1062,cuneus L,LO
1063,inferiortemporal L,LT
1064,inferiorparietal L,LP
1065,superiorparietal L,LP
1066,inferiorparietal L,LP
1067,lateraloccipital L,LO
1068,inferiorparietal L,LP
1069,lingual L,LO
1070,inferiorparietal L,LP
1071,superiorparietal L,LP
1072,pericalcarine L,LO
1073,precuneus L,LP
1074,inferiorparietal L,LP
1075,precuneus L,LP
1076,lateraloccipital L,LO
1077,fusiform L,LT
1078,superiorparietal L,LP
1079,lingual L,LO
1080,fusiform L,LT
1081,superiorparietal L,LP
1082,lateraloccipital L,LO
1083,superiorparietal L,LP
